ULCS Code,SRC School ID,School Name (ULCS),Publication Name,Publication Name Alpha List,Abbreviated Name,Year Opened,School Level,Admission Type,Current Grade Span Served,Grade Span at Scale,Governance,Management Organization,School Reporting Category,Alternate Education Type,Major Intervention,Major Intervention Year,Community School Cohort,CTE Status,Title I Designation,Federal Accountability Designation,City Council District,GPS Location,Multiple Addresses,Street Address,City,State,Zip Code,Learning Network,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
1010,101,JOHN BARTRAM HIGH SCHOOL,John Bartram High School,"Bartram, John High School",Bartram,1939,High,Catchment,09-12,N/A,District,Phila Board of Education,SDP K12 Schools,,Academic Improvement Plan,2017-2018,,,1,CSI,2,"39.92149737, -75.23405562",N/A,2401 S 67TH ST,PHILADELPHIA,PA,19142,Network 12,0,0,0,0,0,0,0,0,0,1,1,1,1
1020,102,WEST PHILADELPHIA HIGH SCHOOL,West Philadelphia High School,West Philadelphia High School,West Philadelphia,1911,High,Catchment,09-12,N/A,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2011-2012,,Programs,1,CSI,3,"39.958110, -75.219654",N/A,4901 CHESTNUT ST,PHILADELPHIA,PA,19139,Network 12,0,0,0,0,0,0,0,0,0,1,1,1,1
1030,103,HIGH SCHOOL OF THE FUTURE,High School of the Future,High School of the Future,HS of Future,2006,High,Citywide,09-12,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,Programs,1,CSI,4,"39.97465766, -75.2047566",N/A,4021 PARKSIDE AVE,PHILADELPHIA,PA,19104,Network 12,0,0,0,0,0,0,0,0,0,1,1,1,1
1050,105,PAUL ROBESON HIGH SCHOOL,Paul Robeson High School for Human Services,"Robeson, Paul High School for Human Services",Robeson,2003,High,Citywide,09-12,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,Programs,1,Non-Designated,3,"39.95679553, -75.20476311",N/A,4125 LUDLOW ST,PHILADELPHIA,PA,19104,Network 12,0,0,0,0,0,0,0,0,0,1,1,1,1
1100,110,SAYRE HIGH SCHOOL,William L. Sayre High School,"Sayre, William L. High School",Sayre,1950,High,Catchment,09-12,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,Programs,1,CSI,3,"39.95759354, -75.23859405",N/A,5800 WALNUT ST,PHILADELPHIA,PA,19139,Network 12,0,0,0,0,0,0,0,0,0,1,1,1,1
1130,113,TILDEN MIDDLE SCHOOL,William T. Tilden Middle School,"Tilden, William T. Middle School",Tilden,1927,Middle,Catchment,05-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,2016-2017,,1,Non-Designated,2,"39.92093619, -75.23227632",N/A,6601 ELMWOOD AVE,PHILADELPHIA,PA,19142,Network 1,0,0,0,0,0,1,1,1,1,0,0,0,0
1190,119,MOTIVATION HIGH SCHOOL,Motivation High School,Motivation High School,Motivation,2004,High,Criteria-Based,09-12,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,A-TSI,3,"39.94453199, -75.24184422",N/A,5900 BALTIMORE AVE,PHILADELPHIA,PA,19143,Network 15,0,0,0,0,0,0,0,0,0,1,1,1,1
1200,120,JOHN BARRY ELEMENTARY SCHOOL,John Barry School,"Barry, John School",Barry,2007,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2013-2014,,,1,Non-Designated,4,"39.96437494, -75.23860376",N/A,5900 RACE ST,PHILADELPHIA,PA,19139,Network 1,1,1,1,1,1,1,1,1,1,0,0,0,0
1230,123,WILLIAM C. BRYANT SCHOOL,William C. Bryant School,"Bryant, William C. School",Bryant,1903,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2013-2014,,,1,Non-Designated,3,"39.952687, -75.243691",N/A,6001 CEDAR AVE,PHILADELPHIA,PA,19143,Network 1,1,1,1,1,1,1,1,1,1,0,0,0,0
1250,125,JOSEPH W. CATHARINE SCHOOL,Joseph W. Catharine School,"Catharine, Joseph W. School",Catharine,1937,Elementary,Catchment,00-05,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,CSI,2,"39.927435, -75.239911",N/A,6600 CHESTER AVE,PHILADELPHIA,PA,19142,Network 1,1,1,1,1,1,1,0,0,0,0,0,0,0
1260,126,BENJAMIN B. COMEGYS SCHOOL,Benjamin B. Comegys School,"Comegys, Benjamin B. School",Comegys,1911,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,CSI,3,"39.940520, -75.216289",N/A,5100 GREENWAY AVE,PHILADELPHIA,PA,19143,Network 1,1,1,1,1,1,1,1,1,1,0,0,0,0
1280,128,PENN ALEXANDER SCHOOL,Sadie T.M. Alexander UPenn Partnership School,"Alexander, Sadie T.M. UPenn Partnership School",Penn Alexander,2001,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,3,"39.953099, -75.208187",N/A,4209 SPRUCE ST,PHILADELPHIA,PA,19104,Network 1,1,1,1,1,1,1,1,1,1,0,0,0,0
1290,129,ANDREW HAMILTON SCHOOL,Andrew Hamilton School,"Hamilton, Andrew School",Hamilton,1970,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,3,"39.955438, -75.235543",N/A,5640 SPRUCE ST,PHILADELPHIA,PA,19139,Network 1,1,1,1,1,1,1,1,1,1,0,0,0,0
